Konsum,Feedin,consumlimit_active,feedinlimit_active,limit_consum,limit_feedin,secondmarket_consum,secondmarket_feedin,Zielfunktionswert,Gesammtkostenenergie,Tarif_consum,Tarif_feedin,Konsumgesammt,feedin_gesammt
4862.23586309524,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
4974.2449239418,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
4976.49208002646,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
89.989236111111,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
169.184011243386,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
407.331167328042,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
501.875942460317,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
503.38976521164,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
1074.19751610756,0.0,0,1,20000.0,3000.0,0.0,-3000.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,7000.0,10000000.0,-7000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
3921.16959325397,0.0,1,0,6000.0,10000000.0,-2078.83040674603,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
2661.82363511262,0.0,1,0,6000.0,10000000.0,-3338.17636488738,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
0.0,0.0,1,0,6000.0,10000000.0,-6000.0,0.0,7.160940430145708,-45.69161854860491,0.29,0.15,524242.9168213074,0.0
